timestamp,subject,action,object,severity
2026-01-15 08:00:01,SYSTEM,logged_on_successfully,Workstation01,info
2026-01-15 08:05:22,explorer.exe,spawned,cmd.exe,low
2026-01-15 08:05:45,cmd.exe,spawned,powershell.exe -ExecutionPolicy Bypass,high
2026-01-15 08:06:01,powershell.exe,connected_to,192.168.1.105:4444,critical
2026-01-15 08:06:15,powershell.exe,modified_registry,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run,critical
2026-01-15 08:07:00,attacker,failed_logon_attempt,from IP 10.0.0.55,medium
2026-01-15 08:07:01,attacker,failed_logon_attempt,from IP 10.0.0.55,medium
2026-01-15 08:07:02,attacker,failed_logon_attempt,from IP 10.0.0.55,medium
2026-01-15 08:07:03,attacker,logged_on_successfully,from IP 10.0.0.55,high
2026-01-15 08:08:00,chrome.exe,visited,http://malware.onion/payload.exe,critical
2026-01-15 08:09:00,svchost.exe,spawned,mimikatz.exe,critical
2026-01-15 08:10:00,mimikatz.exe,accessed,lsass.exe,critical
2026-01-15 08:11:00,SYSTEM,deleted,C:\Windows\System32\winevt\Logs\Security.evtx,high
